dedup_wf_001::680d4358139befdb9b30234bb1af992d,"View of the Puxi in the evening. Centre, Jiushi Building, background, Indigo Hotel."
doi_dedup___::8d5ff44621b77ef5e35f9f4e6981c208,<p>IN00602 PALITANA PLATES DHRUVASENA I 206 (XML)</p>
doi_dedup___::d1a2fe155c7c9680f3b75405b00d4fa8,"Polyoxometalates are an emerging class of molecular clusters, with well-defined structures and chemical compositions that are produced through simple, low-cost, and highly reproducible methods. In particular, the wheel-shaped cluster {Mo154} is a promising photothermal agent due to its intervalence charge transfer transitions. However, its toxicity hinders its systemic administration, being the development of a localized delivery system still incipient. Herein, an injectable and self-healing hydrogel of easy preparation and administration is developed, incorporating both {Mo154} and doxorubicin for synergistic photothermal and chemotherapy applications. The hydrogel is composed of benzylaldehyde functionalized polyethylene glycol, poly(N-isopropylacrylamide) functionalized chitosan and {Mo154}. The gelation occurs within 60 s at room temperature, and the dual crosslinking by Schiff base and electrostatic interactions generates a dynamic network, which enables self-healing after injection. Moreover, the hydrogel delivers chemotherapeutic drugs, with a release triggered by dual near infra-red (NIR) radiation and pH changes. This stimuli-responsive release system along with the photothermal conversion ability of the hydrogel allows the simultaneous combination of photothermal and chemotherapy. This synergic system efficiently ablates the cancer tumor in vivo with no systemic toxicity. Overall, this work paves the way for the development of novel {Mo154}-based systems, incorporated in self-healing and injectable hydrogels for dual chemo-photothermal therapy. Peer reviewed"
erc_________::02f74f0c62a90f768c69a5c3227a2a68,
sygma_______::2940a677178b18e4ef9f389ebd965f6f,Differential cross sections as function of transverse momentum imbalance between Z boson and dijet for Z+ ≥ 2 jets events.
dedup_wf_001::7e8004c5fd20ac8a34dfd44840e3c96e,"Cities are tackling their economic, social and environmental challenges through smart city solutions. To demonstrate that these solutions achieve the desired impact, an indicator-based assessment system is needed. This paper presents the process of developing CITYkeys performance measurement system for target setting and monitoring. This European smart city indicator framework was developed by analyzing cities' needs, existing indicators and gaps."
doi_________::df11a1e3fd5dfdab8b0e2ce5c43cd74b,Belgium Herbarium image of Meise Botanic Garden.
doi_________::f53f5f5522be4e14b04d43590ebcfde7,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::fc01f4b47c3882ef9416ab3b8eabfef8,Belgium Herbarium image of Meise Botanic Garden.
doi_dedup___::201546e929e2c6c165ae2956bb8576e9,"International audience; Engrailed 2 is a transcription factor belonging to the class of homeoproteins. These proteins possess a 60-residue DNA binding globular domain and play an important role in the early stages of development. We expressed and purified a 13.4 kDa fragment of Engrailed 2, which comprises a 54-residue N-terminal extension in addition to the homeodomain region. Almost all backbone and side-chain resonances have been assigned. The weak dispersion in the proton dimension of the (1)H-(15)N HSQC spectrum indicates the presence of disordered regions that do not belong to the homeodomain. This work is a first step toward the NMR investigation of the structure and dynamics of Engrailed 2 protein that contains a well-structured globular domain and partially disordered regions."
doi_dedup___::637a388963414927a0aefdaf1349c02d,"Aims. We carry out a statistical study of the inferred coronal loop cross-sectional density profiles using extreme ultraviolet (EUV) imaging data from the Atmospheric Imaging Assembly (AIA) on board the Solar Dynamics Observatory (SDO).\\ud Methods. We analysed 233 coronal loops observed during 2015/2016. We consider three models for the density profile; the step function (model S ), the linear transition region profile (model L), and a Gaussian profile (model G). Bayesian inference is used to compare the three corresponding forward modelled intensity profiles for each loop. These are constructed by integrating the square of the density from a cylindrical loop cross section along the line of sight, assuming an isothermal cross section, and applying the instrumental point spread function.\\ud Results. Calculating the Bayes factors for comparisons between the models, it was found that in 47 % of cases there is very strong evidence for model L over model S and in 45 % of cases very strong evidence for model G over S . Using multiple permutations of the Bayes factor the favoured density profile for each loop was determined for multiple evidence thresholds. There were a similar number of cases where model L or G are favoured, showing evidence for inhomogeneous layers and constantly varying density cross sections, subject to our assumptions and simplifications.\\ud Conclusions. For sufficiently well resolved loop threads with no visible substructure it has been shown that using Bayesian inference and the observed intensity profile we can distinguish between the proposed density profiles at a given AIA wavelength and spatial resolution. We have found very strong evidence for inhomogeneous layers, with model L being the most general, and a tendency towards thicker or even continuous layers."
doi_dedup___::82c95a24859bc4cc5eb95eb171f9eb2b,"The aim of this study was to characterize a 1:1 molar ratio of a pharmacologically relevant co-amorphous atorvastatin-irbesartan (ATR-IRB) system obtained by quench cooling of the crystalline ATR/IRB physical mixture for potential use in the fixed-dose combination therapy. The system was characterized by employing standard differential scanning calorimetry (DSC), Fourier transform-infrared spectroscopy (FT-IR), and intrinsic dissolution rate studies. Quantum mechanical calculations were performed to obtain information regarding intermolecular interactions in the studied co-amorphous ATR-IRB system. The co-amorphous formulation showed a significant improvement in the intrinsic dissolution rate (IDR) of IRB over pure crystalline as well as its amorphous counterpart. An unusual behavior was observed for ATR, as the IDR of ATR in the co-amorphous formulation was slightly lower than that of amorphous ATR alone. Short-term physical aging studies of up to 8 h proved that the ATR-IRB co-amorphous system remained in the amorphous form. Furthermore, no physical aging occurred in the co-amorphous system. FT-IR, density functional theory calculations, and analysis of Tg value of co-amorphous system using the Couchman&ndash"
